Date,Open,High,Low,Close,Volume
4/23/2010 16:00:00,9.54,9.72,9.54,9.67,28462622
4/26/2010 16:00:00,9.71,9.73,9.58,9.63,17109572
4/27/2010 16:00:00,9.54,9.57,9.3,9.36,25333632
4/28/2010 16:00:00,9.39,9.43,9.16,9.34,27085710
4/29/2010 16:00:00,9.39,9.64,9.36,9.59,19958536
4/30/2010 16:00:00,9.63,9.66,9.32,9.32,19373668
3/5/2010 16:00,9.44,9.57,9.39,9.51,16226433
4/5/2010 16:00,9.37,9.4,9.17,9.24,25850690
5/5/2010 16:00,9.03,9.22,8.88,9.14,31539398
6/5/2010 16:00,9.07,9.22,7.12,8.79,45923556
7/5/2010 16:00,8.71,8.81,8.04,8.42,59857756
10/5/2010 16:00,8.97,9.09,8.88,9.07,35153744
11/5/2010 16:00,9,9.28,8.95,9.16,30369688
12/5/2010 16:00,9.27,9.4,9.24,9.36,23370624
5/13/2010 16:00:00,9.4,9.46,9.16,9.23,21418218
5/14/2010 16:00:00,9.11,9.16,8.91,9.07,27120052
5/17/2010 16:00:00,9.08,9.15,8.85,9.08,27244036
5/18/2010 16:00:00,9.18,9.23,8.94,9.01,27952708
5/19/2010 16:00:00,8.91,9.03,8.74,8.87,36633056
5/20/2010 16:00:00,8.62,8.71,8.44,8.49,45818392
5/21/2010 16:00:00,8.27,8.73,8.26,8.65,43710964
5/24/2010 16:00:00,8.83,8.96,8.8,8.81,26937336
5/25/2010 16:00:00,8.57,8.81,8.47,8.76,37429052
5/26/2010 16:00:00,8.94,9,8.71,8.72,30380592
5/27/2010 16:00:00,8.95,9.07,8.9,9.05,23796476
5/28/2010 16:00:00,9.26,9.26,9.05,9.17,29129032
1/6/2010 16:00,9.28,9.5,9.25,9.32,31302626
2/6/2010 16:00,9.46,9.46,9.3,9.43,24590932
3/6/2010 16:00,9.47,9.48,9.3,9.4,23219902
4/6/2010 16:00,9.23,9.35,9.09,9.14,27087206
7/6/2010 16:00,9.23,9.26,8.95,8.96,31677934
8/6/2010 16:00,9.05,9.06,8.77,8.9,35741716
9/6/2010 16:00,8.98,9,8.66,8.69,30522452
10/6/2010 16:00,8.74,8.96,8.65,8.95,27726992
11/6/2010 16:00,8.86,9.07,8.83,9.05,19491412
6/14/2010 16:00:00,9.14,9.26,9.07,9.08,21534300
6/15/2010 16:00:00,9.13,9.28,9.13,9.27,20895472
6/16/2010 16:00:00,9.32,9.56,9.31,9.54,27988910
6/17/2010 16:00:00,9.66,9.75,9.63,9.71,31195032
6/18/2010 16:00:00,9.72,9.82,9.69,9.79,28022136
6/21/2010 16:00:00,9.92,9.96,9.6,9.65,27731780
6/22/2010 16:00:00,9.72,9.86,9.7,9.78,25616428
6/23/2010 16:00:00,9.81,9.81,9.57,9.68,27444820
6/24/2010 16:00:00,9.68,9.76,9.57,9.61,25540402
6/25/2010 16:00:00,9.64,9.65,9.49,9.53,19640752
6/28/2010 16:00:00,9.53,9.63,9.45,9.58,20908322
6/29/2010 16:00:00,9.44,9.44,9.08,9.15,40476592
6/30/2010 16:00:00,9.17,9.21,8.93,8.98,26409580
1/7/2010 16:00,9.08,9.1,8.69,8.87,36534020
2/7/2010 16:00,8.95,8.96,8.69,8.82,24803484
6/7/2010 16:00,8.97,9.03,8.79,8.88,21972668
7/7/2010 16:00,8.95,9.24,8.92,9.24,23377116
8/7/2010 16:00,9.38,9.39,9.1,9.22,26362524
9/7/2010 16:00,9.18,9.28,9.11,9.27,15484791
12/7/2010 16:00,9.23,9.35,9.1,9.19,20102748
7/13/2010 16:00:00,9.15,9.16,8.8,8.99,42534096
7/14/2010 16:00:00,8.91,9.14,8.89,9.03,29006112
7/15/2010 16:00:00,8.87,9.18,8.83,8.98,29459408
7/16/2010 16:00:00,9.04,9.11,8.87,8.93,37137768
7/19/2010 16:00:00,8.92,8.92,8.56,8.77,36589212
7/20/2010 16:00:00,8.68,9.03,8.57,9,38391072
7/21/2010 16:00:00,9.46,9.47,9.07,9.08,42345344
7/22/2010 16:00:00,9.21,9.29,9.12,9.25,23047046
7/23/2010 16:00:00,9.18,9.3,9.15,9.28,19049524
7/26/2010 16:00:00,9.29,9.29,9.2,9.26,14425233
7/27/2010 16:00:00,9.31,9.46,9.3,9.43,20884664
7/28/2010 16:00:00,9.42,9.5,9.29,9.32,18570870
7/29/2010 16:00:00,9.31,9.38,9.15,9.22,22993056
7/30/2010 16:00:00,9.14,9.28,9.1,9.19,16016280
2/8/2010 16:00,9.3,9.38,9.27,9.35,15288718
3/8/2010 16:00,9.32,9.4,9.27,9.35,14916174
4/8/2010 16:00,9.38,9.44,9.3,9.39,15019868
5/8/2010 16:00,9.34,9.4,9.31,9.35,10334374
6/8/2010 16:00,9.28,9.34,9.2,9.29,15893330
9/8/2010 16:00,9.34,9.36,9.27,9.35,10825908
10/8/2010 16:00,9.28,9.3,9.2,9.26,16139915
11/8/2010 16:00,9.11,9.13,8.92,8.94,22144724
12/8/2010 16:00,8.81,9.04,8.79,8.99,19104262
8/13/2010 16:00:00,8.97,9,8.9,8.9,12673805
8/16/2010 16:00:00,8.85,8.93,8.81,8.84,11372407
8/17/2010 16:00:00,8.93,9.09,8.9,9,15094603
8/18/2010 16:00:00,9.01,9.1,8.99,9.04,12131989
8/19/2010 16:00:00,9.03,9.05,8.88,8.92,15239461
8/20/2010 16:00:00,8.91,9.07,8.89,8.92,13722458
8/23/2010 16:00:00,8.99,9,8.76,8.78,14788116
8/24/2010 16:00:00,8.68,8.68,8.52,8.57,21519744
8/25/2010 16:00:00,8.5,8.71,8.47,8.67,21316604
8/26/2010 16:00:00,8.77,8.78,8.58,8.58,16660829
8/27/2010 16:00:00,8.63,8.66,8.41,8.63,19592368
8/30/2010 16:00:00,8.6,8.78,8.6,8.66,13688842
8/31/2010 16:00:00,8.64,8.73,8.58,8.68,15028086
1/9/2010 16:00,8.84,8.98,8.8,8.94,24894116
2/9/2010 16:00,8.98,9.01,8.88,9.01,14836614
3/9/2010 16:00,9.1,9.24,9.09,9.24,18599580
7/9/2010 16:00,9.16,9.27,9.15,9.21,12243759
8/9/2010 16:00,9.28,9.44,9.25,9.39,18805302
9/9/2010 16:00,9.46,9.52,9.39,9.4,15663371
10/9/2010 16:00,9.4,9.45,9.34,9.41,13848617
9/13/2010 16:00:00,9.5,9.58,9.49,9.54,13884995
9/14/2010 16:00:00,9.51,9.61,9.48,9.57,14576759
9/15/2010 16:00:00,9.57,9.66,9.57,9.65,15334510
9/16/2010 16:00:00,9.65,9.88,9.63,9.88,23289340
9/17/2010 16:00:00,9.92,9.93,9.77,9.83,22659812
9/20/2010 16:00:00,9.86,10.14,9.85,10.12,23546120
9/21/2010 16:00:00,10.14,10.26,10.1,10.13,23916984
9/22/2010 16:00:00,10.1,10.29,10.09,10.28,20907682
9/23/2010 16:00:00,10.23,10.46,10.21,10.32,28075552
9/24/2010 16:00:00,10.43,10.48,10.38,10.44,23195972
9/27/2010 16:00:00,10.5,10.53,10.39,10.4,17253560
9/28/2010 16:00:00,10.42,10.42,9.82,10.25,36965772
9/29/2010 16:00:00,10.26,10.35,10.21,10.26,16772944
9/30/2010 16:00:00,10.32,10.36,10.04,10.13,24049636
1/10/2010 16:00,10.23,10.24,10.05,10.09,16014492
4/10/2010 16:00,10.06,10.1,9.92,9.95,15546424
5/10/2010 16:00,10.09,10.34,10.07,10.32,17927350
6/10/2010 16:00,10.34,10.43,10.19,10.29,20478116
7/10/2010 16:00,10.37,10.37,10.25,10.33,14585611
8/10/2010 16:00,10.42,10.52,10.36,10.5,23514402
11/10/2010 16:00,10.53,10.62,10.52,10.55,15276819
12/10/2010 16:00,10.55,10.7,10.45,10.66,19947808
10/13/2010 16:00:00,10.72,10.78,10.71,10.72,22503228
10/14/2010 16:00:00,10.77,10.8,10.73,10.8,15546275
10/15/2010 16:00:00,10.98,11.25,10.89,11.24,32935492
10/18/2010 16:00:00,11.38,11.39,11.22,11.36,39444912
10/19/2010 16:00:00,10.84,11.21,10.72,11.05,44027120
10/20/2010 16:00:00,11.04,11.22,10.96,11.09,25772290
10/21/2010 16:00:00,11.15,11.24,10.96,11.05,19694904
10/22/2010 16:00:00,11.04,11.07,10.94,10.98,13313408
10/25/2010 16:00:00,11.04,11.13,11.02,11.03,14015428
10/26/2010 16:00:00,10.96,11.06,10.92,11,14033191
10/27/2010 16:00:00,10.99,11.07,10.91,10.99,14250010
10/28/2010 16:00:00,11,11,10.75,10.9,19680220
10/29/2010 16:00:00,10.87,10.92,10.75,10.75,15375304
1/11/2010 16:00,10.81,10.91,10.79,10.86,15138893
2/11/2010 16:00,10.96,11.08,10.96,11.05,15497491
3/11/2010 16:00,11.12,11.17,11.02,11.17,18155264
4/11/2010 16:00,11.25,11.44,11.25,11.37,22799492
5/11/2010 16:00,11.36,11.41,11.31,11.33,12901895
8/11/2010 16:00,11.32,11.42,11.31,11.38,10061901
9/11/2010 16:00,11.46,11.48,11.23,11.29,13704115
10/11/2010 16:00,11.31,11.38,11.2,11.36,13722339
11/11/2010 16:00,11.25,11.37,11.22,11.31,12902919
12/11/2010 16:00,11.27,11.3,10.84,11,28423066
11/15/2010 16:00:00,11.02,11.09,10.94,10.97,14414422
11/16/2010 16:00:00,10.91,10.99,10.69,10.77,23533906
11/17/2010 16:00:00,10.75,10.86,10.63,10.73,17123200
11/18/2010 16:00:00,10.91,11.06,10.88,11.02,17660348
11/19/2010 16:00:00,11,11.01,10.9,10.95,13744399
11/22/2010 16:00:00,10.95,11.19,10.92,11.19,14038356
11/23/2010 16:00:00,11.08,11.13,10.95,11.03,18551612
11/24/2010 16:00:00,11.14,11.26,11.13,11.24,14795448
11/26/2010 16:00:00,11.21,11.35,11.18,11.25,8490891
11/29/2010 16:00:00,11.29,11.34,11.12,11.32,15919985
11/30/2010 16:00:00,11.2,11.23,11.1,11.11,17923328
